# Inventario Champanillo → cat|proveedor|producto|unidad_hoja|precio
# cat: P C L Z FV BA BNA PAN PK CF
PK|DISPRONET|CEPILLO ESCOBA TOSCANA NEGRA TACO ROJO|UNID|2.95
PK|DISPRONET|ESTROPAJO GRIS ALMOHADILLA ABRASIVA ACERO INOX|PAQUETE 10 UNID|12.27
PK|DISPRONET|DESCALCIFICADOR MAQUINAS LAVAVAJILLAS FORACAL|GARRAFA 5 LT|14.60
PK|DISPRONET|FREGASUELOS NEUTRO LIMON IGEL MADERA|GARRAFA 5 LT|19.17
PK|DISPRONET|FREGASUELOS NEUTRO BIOALCOHOL SELECTA FRESH|GARRAFA 5 LT|14.30
PK|DISPRONET|DESINFECTANTE GEL CON LEJIA GELCLOR|GARRAFA 5 LT|9.90
PK|DISPRONET|GUANTES NITRILO NEGRO TALLA M|CAJA X 100|4.16
PK|DISPRONET|GUANTES NITRILO NEGRO TALLA L|CAJA X 100|4.16
PK|DISPRONET|HIGIENICO EXTRACCION CENTRAL 2 CAPAS|PAQUETE X 6|17.55
PK|DISPRONET|INSECTICIDA INDUSRIAL FLY JET|BOTE 1 LT|4.00
PK|DISPRONET|LAVAVAJILLAS LIQUIDO AUTOMATICO COSMOS|GARRAFA 12 KG|15.42
PK|DISPRONET|LAVAVAJILLAS MANUAL CONCENTRADO ORO SUPERIOR|GARRAFA 5 LT|8.86
PK|DISPRONET|LEJIA FLOQUET|GARRAFA 5 LT|2.89
PK|DISPRONET|PASTILLAS DESINFECTANTES CLORADO TECMACHLOR|BOTE 1 KG|22.83
PK|DISPRONET|DESINFECTANTE FRUTA Y VERDURA|BOTE 1 KG|2.82
PK|DISPRONET|LIMPIADOR ABRILLANTADOR ACERO INOX LIMPINOX|BOTE 1 LT|7.38
PK|DISPRONET|MOCHO ALGODÓN BLANCO 250GR (MOPA INDUSTRIAL)|UNID|2.29
PK|DISPRONET|NANA ACERO INOX INDUSTRIAL 60 GR|PAQUETE 8 UNID|8.81
PK|DISPRONET|FREGASUELOS DESENGRASANTE MULTIUSOS NETION DF|GARRAFA 5 LT|20.11
PK|DISPRONET|PAÑO SAGRA AZUL 55X55|PAQUETE 10|9.73
PK|DISPRONET|BOBINA SECAMANOS LAMINAD PASTA PURA 2C|PAQUETE X 6|14.97
PK|DISPRONET|ESTUCHE CON TAPA KRAFT HOT DOG 30 CM|CAJA 450 UNID|65.29
PK|DISPRONET|GUANTES NITRILO NEGRO TALLA XL|CAJA X 100|4.16
PK|DISPRONET|GUANTES NITRILO NEGRO TALLA S|CAJA X 100|4.16
PK|DISPRONET|VASO 360 CL T PINTA ARC|CAJA 6 UNID|5.25
PK|DISPRONET|COPA PLATINO VINO 440 CL|CAJA 6 UNID|17.75
PK|DISPRONET|BOBINA REGISTRADORA 80X80 TERMICA|PAQUETE X8 ROLLOS|9.58
PK|DISPRONET|BOLSA BASURA DOMESTICA 54X60 NEGRA|CAJA 25 ROLLOS|18.75
PK|DISPRONET|CUCHARA CAFÉ LINEA HOTEL LUXE|CAJA 12 UNID|4.87
PK|DISPRONET|CUCHARA MOKA LINEA HOTEL LUXE|CAJA 12 UNID|4.03
PK|DISPRONET|CENICEROS RED 10 CM TRANSPARENTE|CAJA X 6 UNID|12.31
PK|DISPRONET|CUCHILLO CHULETERO MESA|CAJA 12 UNID|11.09
PK|DISPRONET|CUCHILLO MESA MONOBLOC|CAJA 12 UNID|9.07
PK|DISPRONET|FORMATO ANTIGRASA MAS ALUMINIO|CAJA 1000 UNID|102.40
PK|DISPRONET|BOLSA PLÁSTICO 15X20 VACIO CONSERVACIÓN SACOLIVA|PAQ. 200 UNID|8.96
PK|DISPRONET|VASO SIDRA 36CL VICRILA|CAJA 12UNID|10.08
PK|DISPRONET|VASO CERVEZA 20CL. CAÑA LISA BORMIOLI|CAJA 6UNID|4.50
PK|DISPRONET|CARGA BACTERIOSTATICO CLEAN AQUA 610ML|UNIDAD|17.18
